Name,studentID,studentESL,studentPriority,studentGPA,Final,studentChoice1,studentChoice2,studentChoice3,studentChoice4,studentChoice5,studentAvoid,assignment
Odell Medina,897953720,,,3.749,17,25,41,17,4,19,,42
Debra Hart,870105570,,,3.879,18,2,18,29,4,37,,7
Kitty Phelps,897088223,,,3.946,18,18,29,30,,,,42
Alex Harmon,826700043,,,3.954,18,29,14,3,18,4,,32
Elvis Kline,897367948,,,3.73,18,30,18,41,19,,,8
Morton Baker,830525547,,,3.57,19,19,6,8,,,,10
Lessie Woodard,897899275,,,2.633,19,19,11,23,31,15,,36
Shirley Jackson,817437772,,,3.014,19,31,19,2,25,29,,13
Deanne Underwood,830247192,,,3.17,20,11,20,15,32,,,8
Darron Hall,853678088,,,3.721,20,20,14,25,33,43,,22
Jackson Delacruz,887925572,,,3.417,20,20,25,2,14,,,27
Stephan Potts,867751024,,,3.73,20,25,41,14,2,20,,2
Sherman Baird,827044840,,,2.997,25,25,8,7,41,17,,15
Tabitha Rivers,826047057,,,2.952,25,25,14,8,6,18,,28
Sid Perry,834626520,,,3.747,25,25,41,14,3,6,,26
Shelia Riley,832957587,,,3.676,25,25,41,14,3,7,,34
Candice Bell,815524702,,,3.927,25,25,41,37,,,,22
Cristopher Lowery,811541992,,,3.346,26,8,26,41,11,15,,10
Antonia Mason,850614193,,,3.278,26,8,31,26,11,,,9
Angie Perkins,805880536,,,2.395,26,11,26,15,22,,,29
Kasey Mahoney,833013325,,,2.702,26,15,26,34,14,7,,20
Agustin Kirby,822715628,,,4,27,1,27,41,25,9,,29
Jana Randall,884039060,,,3.958,27,27,1,42,28,,,1
Lon Suarez,850293758,,,2.961,31,8,11,31,26,,,8
Rolf Arias,808547310,,,2.977,31,11,31,15,32,33,,1
Keenan Mcintyre,843383621,,,2.613,31,31,15,11,32,,,35
Josue Huffman,870991874,,,2.834,31,31,15,11,,,,16
Deana Rhodes,870372525,,,2.385,31,31,32,34,26,,,23
Sung Dillon,830737436,,,2.888,33,11,15,33,31,41,,27
Carly Fritz,828893463,,,3.814,33,24,33,41,8,13,,42
Roseann Faulkner,802437467,,,2.595,33,33,14,26,9,,,29
Helena Braun,896849705,,,3.343,33,33,15,31,11,24,,21
Earlene Rowe,819876960,,,2.959,33,33,25,1,43,,,5
Harriett Glass,866654405,,,3.1,34,10,34,1,7,24,,33
Trisha Vasquez,807991619,,,3.408,34,33,34,10,31,32,,14
Chad Miller,810303932,,,3.74,34,34,1,13,16,42,,38
Gertrude Ware,845561022,,,3.208,34,34,39,16,27,,,22
Benny Sims,870895385,,,3.715,41,41,14,3,,,,32
Taylor Dickson,897580946,,,3.151,41,41,17,4,8,25,,1
Monroe Morris,805404279,,,3.64,41,41,19,10,24,32,,15
Jocelyn Munoz,838867128,,,2.439,41,41,29,20,24,32,,7
Misty Savage,844916763,,,3.593,43,14,25,43,8,41,,25
Mohammed Chen,820105102,,,3.894,43,14,43,25,17,38,,11
Danielle Patel,882140867,,,3.87,43,43,5,14,32,,,40
Kerry Petersen,832313451,,,3.86,43,43,8,41,17,,,9
Jame White,875856409,,,3.383,43,5,30,36,42,35,,29
